disease,desc
tinnitus of unknown cause,"Do you hear a ringing roaring clicking or hissing sound in your ears? Do you hear this sound often or all the time? Does the sound bother you? If you answer is yes you might have tinnitus. Millions of people in the U.S. have tinnitus. People with severe tinnitus may have trouble hearing working or even sleeping. Causes of tinnitus include hearing loss exposure to loud noises or medicines you may be taking for a different problem. Tinnitus may also be a symptom of other health problems such as allergies high or low blood pressure tumors and problems in the heart blood vessels jaw and neck. Treatment depends on the cause. Treatments may include hearing aids sound-masking devicesmedicines and ways to learn how to cope with the noise. NIH: National Institute on Deafness and Other Communication Disorders , Source: MedlinePlus"
glaucoma,"Glaucoma is a term describing a group of ocular disorders with multi-factorial etiology united by a clinically characteristic intraocular pressure-associated optic neuropathy. This can permanently damage vision in the affected eye(s) and lead to blindness if left untreated. It is normally associated with increased fluid pressure in the eye (aqueous humour). The term ocular hypertension is used for people with consistently raised intraocular pressure (IOP) without any associated optic nerve damage. Conversely the term 'normal tension' or 'low tension' glaucoma is used for those with optic nerve damage and associated visual field lossbut normal or low IOP. , Source: Wikipedia"
eating disorder,"Eating disorders are conditions defined by abnormal eating habits that may involve either insufficient or excessive food intake to the detriment of an individual's physical and mental health. Bulimia nervosa and anorexia nervosa are the most common specific forms in the United Kingdom. Other types of eating disorders include binge eating disorder and eating disorder not otherwise specified. Bulimia nervosa is a disorder characterized by binge eating and purging. Purging can include self-induce vomiting over-exercising and the usage of diuretics enemas and laxatives. Anorexia nervosa is characterized by extreme food restriction to the point of self-starvation and excessive weight loss. Though primarily thought of as affecting females (an estimated 5–10 million being affected in the U.K.) eating disorders affect males as well. An estimated 10 – 15% of people with eating disorders are males (Gorgan 99.(an estimated 1 million U.K. males being affected). Although eating disorders are increasing all over the world among both men and women there is evidence to suggest that it is women in the Western world who are at the highest risk of developing them and the degree of westernization increases the risk. Nearly half of all Americans personally know someone with an eating disorder. The skill to comprehend the central processes of appetite has increased tremendously since leptin was discovered and the skill to observe the functions of the brain as well. Interactions between motivational homeostatic and self-regulatory control processes are involved in eating behaviourwhich is a key component in eating disorders. , Source: Wikipedia"
transient ischemic attack,"Also known as TIA  ,A transient ischemic attack (TIA) is a transient episode of neurologic dysfunction caused by ischemia (loss of blood flow) – either focal brainspinal cord or retinal – without acute infarction (tissue death). , Source: Wikipedia"
pyelonephritis,"Also known as Bacterial Infection Of The Kidney  ,Pyelonephritis (from Greek πήληξ – pyelummeaning renal pelvis νεφρός – nephrosmeaning kidney and -itismeaning inflammation) is an ascending urinary tract infection that has reached the pyelum or pelvis of the kidney. It is a form of nephritis that is also referred to as pyelitis. Severe cases of pyelonephritis can lead to pyonephrosis (pus accumulation around the kidney) urosepsis (a systemic inflammatory response of the body to infection)kidney failure and even death. , Source: Wikipedia"
rotator cuff injury,"Also known as Rotator Cuff Tear and Rotator Cuff Rupture  ,A rotator cuff tear is a tear of one or more of the tendons of the four rotator cuff muscles. A rotator cuff injury can include any type of irritation or damage to the rotator cuff muscles or tendons. ,Source: Wikipedia"
chronic pain disorder,"Also known as Pain Syndrome and Pain Disorder  ,Pain disorder is chronic pain experienced by a patient in one or more areas and is thought to be caused by psychological stress. The pain is often so severe that it disables the patient from proper functioning. Duration may be as short as a few days or as long as many years. The disorder may begin at any age and occurs more frequently in girls than boys. This disorder often occurs after an accident or during an illness that has caused pain which then takes on a 'life' of its own. , Source: Wikipedia"
problem during pregnancy,Also known as Pregnancy Problem   Problem during pregnancy is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.
liver cancer," Also known as Cancer Of The Liver Hepatic Cancer and Malignant Neoplasm Of Liver  ,Liver cancer or hepatic cancer (from the Greek hēpar meaning liver) is a cancer that originates in the liver. Liver cancers are malignant tumors that grow on the surface or inside the liver. Liver tumors are discovered on medical imaging equipment (often by accident) or present themselves symptomatically as an abdominal mass abdominal pain jaundice nausea or liver dysfunction. Liver cancers should not be confused with liver metastases which are cancers that originate from organs elsewhere in the body and migrate to the liver. , Source: Wikipedia"
atelectasis,"Atelectasis (from Greek: ἀτελήςincomplete + ἔκτασιςextension) is defined as the collapse or closure of the lung resulting in reduced or absent gas exchange . It may affect part or all of one lung. It is a condition where the alveoli are deflatedas distinct from pulmonary consolidation. , Source: Wikipedia"
injury to the hand,"Also known as Hand injury  ,The hand is a very complex organ with multiple joints different types of ligament tendons and nerves. With constant use it is no wonder that hand disease injuries are common in society. Hand injuries can result from excessive usedegenerative disorders or trauma. , Source: Wikipedia"
choledocholithiasis,"Agallstone is a crystalline concretion formed within the gallbladder by accretion of bile components. These calculi are formed in the gallbladder but may distally pass into other parts of the biliary tract such as the cystic duct common bile duct pancreatic duct or the ampulla of Vater. Rarely in cases of severe inflammationgallstones may erode through the gallbladder into adherent bowel potentially causing an obstruction termed gallstone ileus. , Source: Wikipedia"
injury to the hip,"Also known as Hip Injury  ,General or unspecified injuries involving the hip. ,Source: MeSH"
cirrhosis," Also known as Liver Cirrhosis Cirrhosis Of Liver and Hepatic Cirrhosis  ,Cirrhosis /sɪˈroʊsɪs/ is a consequence of chronic liver disease characterized by replacement of liver tissue by fibrosis scar tissue and regenerative nodules (lumps that occur as a result of a process in which damaged tissue is regenerated) leading to loss of liver function. Cirrhosis is most commonly caused by alcoholism hepatitis B and hepatitis C and fatty liver disease but has many other possible causes. Some cases are idiopathic (i.e. of unknown cause). , Source: Wikipedia"
thoracic aortic aneurysm,"Athoracic aortic aneurysm is an aortic aneurysm that presents primarily in the thorax. ,Source: Wikipedia"
subdural hemorrhage,"Also known as Subdural Hematoma  ,Asubdural hematoma (American spelling) or subdural haematoma (British spelling) also known as a subdural haemorrhage (SDH) is a type of hematoma usually associated with traumatic brain injury. Blood gathers within the outermost meningeal layer between the dura mater which adheres to the skull and the arachnoid mater which envelops the brain. Usually resulting from tears in bridging veins which cross the subdural space subdural hemorrhages may cause an increase in intracranial pressure (ICP) which can cause compression of and damage to delicate brain tissue. Subdural hematomas are often life-threatening when acute. Chronic subdural hematomas however have better prognosis if properly managed. , Source: Wikipedia"
congenital rubella,"Congenital rubella syndrome (CRS) can occur in a developing fetus of a pregnant woman who has contracted rubella during her first trimester. If infection occurs 0–28 days before conception there is a 43% chance the infant will be affected. If the infection occurs 0–12 weeks after conceptionthere is a 51% chance the infant will be affected. , Source: Wikipedia"
diabetic retinopathy,"Diabetic retinopathy )is retinopathy (damage to the retina) caused by complications of diabetes which can eventually lead to blindness. It is an ocular manifestation of diabetes a systemic disease which affects up to 80 percent of all patients who have had diabetes for 10 years or more. Despite these intimidating statistics research indicates that at least 90% of these new cases could be reduced if there was proper and vigilant treatment and monitoring of the eyes. The longer a person has diabetesthe higher his or her chances of developing diabetic retinopathy. , Source: Wikipedia"
fibromyalgia,"Also known as Fibromyalgia Syndrome Fibromyositisand Muscular Rheumatism  ,Fibromyalgia (FM or FMS) is characterised by chronic widespread pain and allodynia (a heightened and painful response to pressure). Its exact cause is unknown but is believed to involve psychological genetic neurobiological and environmental factors. Fibromyalgia symptoms are not restricted to pain leading to the use of the alternative term fibromyalgia syndrome for the condition. Other symptoms include debilitating fatigue sleep disturbance and joint stiffness. Some patients also report difficulty with swallowing bowel and bladder abnormalities numbness and tingling and cognitive dysfunction. Fibromyalgia is frequently comorbid with psychiatric conditions such as depression and anxiety and stress-related disorders such as posttraumatic stress disorder. Not all fibromyalgia patients experience all associated symptoms. Fibromyalgia is estimated to affect 2–4% of the population with a female to male incidence ratio of approximately 9:1. The term fibromyalgia derives from new Latin fibro- meaning fibrous tissues Greek myo- muscle and Greek algos- pain; thus the term literally means muscle and connective tissue pain. , Source: Wikipedia"
ischemia of the bowel, Ischemia of the bowel is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.
fetal alcohol syndrome,"Fetal alcohol syndrome (FAS) is a pattern of mental and physical defects that can develop in a fetus in association with high levels of alcohol consumption during pregnancy. Alcohol crosses the placental barrier and can stunt fetal growth or weight create distinctive facial stigmata damage neurons and brain structures which can result in psychological or behavioral problems and cause other physical damage. The main effect of FAS is permanent central nervous system damage especially to the brain. Developing brain cells and structures can be malformed or have development interrupted by prenatal alcohol exposure; this can create an array of primary cognitive and functional disabilities (including poor memory attention deficits impulsive behavior and poor cause-effect reasoning) as well as secondary disabilities (for example predispositions to mental health problems and drug addiction). Alcohol exposure presents a risk of fetal brain damage at any point during a pregnancy since brain development is ongoing throughout pregnancy. , Source: Wikipedia"
peritonitis,"Peritonitis is an inflammation of the peritoneum the thin tissue that lines the inner wall of the abdomen and covers most of the abdominal organs. Peritonitis may be localized or generalisedand may result from infection (often due to rupture of a hollow organ as may occur in abdominal trauma or appendicitis) or from a non-infectious process. , Source: Wikipedia"
injury to the abdomen, Injury to the abdomen is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.
acute pancreatitis,"Acute pancreatitis or acute pancreatic necrosis is a sudden inflammation of the pancreas. It can have severe complications and high mortality despite treatment. While mild cases are often successfully treated with conservative measures such as NPO (nil per os fasting) and aggressive intravenous fluid rehydration severe cases may require admission to the intensive care unit or even surgery to deal with complications of the disease process. , Source: Wikipedia"
thrombophlebitis,"Thrombophlebitis is phlebitis (vein inflammation) related to a thrombus (blood clot). When it occurs repeatedly in different locationsit is known as Thrombophlebitis migrans or migrating thrombophlebitis. , Source: Wikipedia"
asthma,"Also known as Bronchial Asthma  ,Asthma (from the Greek ἅσθμα ásthmapanting) is a common chronic inflammatory disease of the airways characterized by variable and recurring symptoms reversible airflow obstruction and bronchospasm. Common symptoms include wheezing coughing chest tightnessand shortness of breath. , Source: Wikipedia"
foreign body in the vagina,Also known as Vaginal Foreign Body   Foreign body in the vagina is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.
restless leg syndrome,"Also known as Ekbom Syndrome  ,Restless Legs Syndrome (RLS) also known as Willis-Ekbom disease (WED) is a neurological disorder characterized by an irresistible urge to move one's body to stop uncomfortable or odd sensations. It most commonly affects the legs but can affect the arms torso head and even phantom limbs. Moving the affected body part modulates the sensations providing temporary relief. , Source: Wikipedia"
emphysema,"Also known as Lung Emphysema and Pulmonary Emphysema  ,Emphysema is a long-term lung disease. In people with emphysema the tissues necessary to support the shape and function of the lungs are destroyed. It is included in a group of diseases called chronic obstructive pulmonary disease or COPD. Emphysema is called an obstructive lung disease because the destruction of lung tissue around smaller sacs called alveolimakes these air sacs unable to hold their functional shape upon exhalation. Emphysema is most often caused by tobacco smoking and long-term exposure to air pollution. , Source: Wikipedia"
cysticercosis,"Cysticercosis refers to tissue infection after exposure to eggs of Taenia solium the pork tapeworm. The disease is spread via the fecal-oral route through contaminated food and water and is primarily a food borne disease. After ingestion the eggs pass through the lumen of the intestine into the tissues and migrate preferentially to the brain and muscles. There they form cysts that can persist for years. In some cases the cysts will eventually cause an inflammatory reaction presenting as painful nodules in the muscles and seizures when the cysts are located in the brain. Symptomatic disease from Taenia solium cysts in the brain is referred to as neurocysticercosis and is the most common tapeworm infection of the brain worldwide. Cysticercosis should be differentiated from taeniasis: carriage of the adult tapeworm in the intestine (which is through ingestion of cysts in an intermediate host not the ingestion of the eggs as in cysticercosis). These represent two different stages of the parasite’s life cycle. Though both forms of infection can potentially occur in the same individual at the same timethey are distinct disease entities and have different treatments and potential outcomes. , Source: Wikipedia"
induced abortion,"Abortion is the termination of pregnancy by the removal or expulsion from the uterus of a fetus or embryo prior to viability. An abortion can occur spontaneously in which case it is usually called a miscarriageor it can be purposely induced. The term abortion most commonly refers to the induced abortion of a human pregnancy. , Source: Wikipedia"
teething syndrome, Teething syndrome is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.
infectious gastroenteritis,"Also known as Stomach Flu and Gastric Flu  ,Gastroenteritis is a medical condition characterized by inflammation (-itis) of the gastrointestinal tract that involves both the stomach (gastro-) and the small intestine (entero-) resulting in some combination of diarrhea vomiting and abdominal pain and cramping. Gastroenteritis has also been referred to as gastro stomach bug and stomach virus. Although unrelated to influenza it has also been called stomach flu and gastric flu. , Source: Wikipedia"
acute sinusitis,"Sinusitis or rhinosinusitis is inflammation of the paranasal sinuses. It can be due to infection allergy or autoimmune issues. Most cases are due to a viral infection and resolve over the course of 10 days. It is a common conditionwith over 24 million cases annually in the U.S. , Source: Wikipedia"
von hippel-lindau disease,"Von Hippel–Lindau (VHL) disease is a rare autosomal dominant genetic condition that predisposes individuals to benign and malignant tumours. The most common tumours found in VHL are central nervous system and retinal hemangioblastomas clear cell renal carcinomas pheochromocytomas pancreatic neuroendocrine tumours pancreatic cystsendolymphatic sac tumors and epididymal papillary cystadenomas. VHL results from a mutation in the von Hippel–Lindau tumor suppressor gene on chromosome 3p25.3. , Source: Wikipedia"
substance-related mental disorder, Substance-related mental disorder is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.
postpartum depression," Also known as Postnatal Depression Postnatal Blues and Puerperal Depression  ,Postpartum depression (PPD) also called postnatal depression is a type of clinical depression which can affect women and less frequently men typically after childbirth. Studies report prevalence rates among women from 5% to 25% but methodological differences among the studies make the actual prevalence rate unclear. Among men in particular new fathers the incidence of postpartum depression has been estimated to be between 1% and 25.5%. Postpartum depression occurs in women after they have carried a child. Symptoms include sadness fatigue changes in sleeping and eating patterns reduced libido crying episodes anxiety and irritability. Although a number of risk factors have been identified the causes of PPD are not well understood. Many women recover with a treatment consisting of a support group or counseling. , Source: Wikipedia"
coronary atherosclerosis,"Atherosclerosis (also known as arteriosclerotic vascular disease or ASVD) is a condition in which an artery wall thickens as a result of the accumulation of fatty materials such as cholesterol and triglyceride. It is a syndrome affecting arterial blood vessels a chronic inflammatory response in the walls of arteries caused largely by the accumulation of macrophage white blood cells and promoted by low-density lipoproteins (LDLplasma proteins that carry cholesterol and triglycerides) without adequate removal of fats and cholesterol from the macrophages by functional high-density lipoproteins (HDL) (see apoA-1 Milano). It is commonly referred to as a hardening or furring of the arteries. It is caused by the formation of multiple plaques within the arteries. , Source: Wikipedia"
spondylitis,"Also known as Inflammation Of The Vertebra  ,Spondylitis is an inflammation of the vertebra. It is a form of spondylopathy. In many cases spondylitis involves one or more vertebral joints as wellwhich itself is called spondylarthritis. , Source: Wikipedia"
pituitary adenoma,"Pituitary adenomas are noncancerous tumors that occur in the pituitary gland. Pituitary adenomas are generally divided into three categories dependant upon their biological functioning: benign adenoma invasive adenoma or carcinomas with carcinomas accounting for 0.1% to 0.2%approximately 35% being invasive adenomas and most being benign adenomas. Pituitary adenomas represent from 10% to 25% of all intracranial neoplasms and the estimated prevalence rate in the general population is approximately 17%. , Source: Wikipedia"
uterine fibroids,"Also known as Fibroids Leiomyoma Uterine Leiomyoma Myofibroma Fibromyoma Leiomyofibromaand Uterine Fibromyoma  ,Auterine fibroid is a leiomyoma (benign (non-cancerous) tumor from smooth muscle tissue) that originates from the smooth muscle layer (myometrium) of the uterus. Fibroids are often multiple and garner the designation of diffuse uterine leiomyomatosis if they are randomly located and many in numbers. There is a malignant form of a fibroid and fibroids can rarely (0.1-0.5%) undergo malignant degeneration into leiomyosarcoma. Additionally there are rare forms of fibroids where the lesions are capable of metastasising without malignant transformation and this process is called benign metastasising leiomyoma. , Source: Wikipedia"
idiopathic nonmenstrual bleeding, Idiopathic nonmenstrual bleeding is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.
chalazion,"Also known as Meibomian Cyst and Tarsal Cyst  ,Achalazion (/kəˈleɪziən/; plural chalazia /kəˈleɪziə/) also known as a meibomian gland lipogranuloma is a cyst in the eyelid that is caused by inflammation of a blocked meibomian gland usually on the upper eyelid. Chalazia differ from styes (hordeola) in that they are subacute and usually painless nodules. They may become acutely inflamed but unlike a stye chalazia usually point inside the lid rather than on the lid margin. , Source: Wikipedia"
ovarian torsion,"Also known as Ovary Torsion Torsion Of Ovaryand Torsed Ovary  ,Ovarian torsion (OT) refers to the rotation of the ovary to such a degree as to occlude the ovarian artery and/or vein. , Source: Wikipedia"
retinopathy due to high blood pressure,"Also known as Hypertensive Retinopathy  ,Hypertensive retinopathy is damage to the retina and retinal circulation due to high blood pressure (i.e. hypertension). ,Source: Wikipedia"
vaginal yeast infection," Also known as Vaginal Candidiasis Vaginal Thrush Candida Vaginitis Yeast Vaginitis Monilial Vaginitis and Vaginal Moniliasis  ,Candidiasis or thrush is a fungal infection (mycosis) of any of the Candida species (all yeasts) of which Candida albicans is the most common. Also commonly referred to as a yeast infection candidiasis is also technically known as candidosis moniliasis and oidiomycosis. , Source: Wikipedia"
mastoiditis,"Mastoiditis is the result of an infection that extends to the air cells of the skull behind the ear. Specifically it is an inflammation of the mucosal lining of the mastoid antrum and mastoid air cell system inside the mastoid process that portion of the temporal bone of the skull that is behind the ear and which contains open air-containing spaces. It is usually caused by untreated acute otitis media (middle ear infection) and used to be a leading cause of child mortality. With the development of antibiotics however mastoiditis has become quite rare in developed countries where surgical treatment is now much less frequent and more conservative unlike former times. Untreated the infection can spread to surrounding structures including the braincausing serious complications. , Source: Wikipedia"
lung contusion,"Also known as Pulmonary Contusion  ,A pulmonary contusion (or lung contusion) is a contusion (bruise) of the lung caused by chest trauma. As a result of damage to capillaries blood and other fluids accumulate in the lung tissue. The excess fluid interferes with gas exchange potentially leading to inadequate oxygen levels (hypoxia). Unlike pulmonary laceration another type of lung injurypulmonary contusion does not involve a cut or tear of the lung tissue. , Source: Wikipedia"
hypertrophic obstructive cardiomyopathy (hocm),"Also known as HCM Hypertrophic Cardiomyopathyand HOCM  ,HCM may refer to: , Source: Wikipedia"
ingrown toe nail,"Also known as Ingrown Nail and Onychocryptosis  ,Onychocryptosis (from Greek ὄνυξ onyx nail + κρυπτός kryptos hidden) also known as an ingrown toenailor unguis incarnatus is a common form of nail disease. It is an often painful condition in which the nail grows so that it cuts into one or both sides of the paronychium or nail bed. This condition has been found only in shoe-wearing cultures and does not occur in habitually barefoot people since it requires downward pressure on the nail by a shoe. , Source: Wikipedia"
pulmonary eosinophilia,"Also known as Eosinophilic Pneumonia Eosinophilic Pneumonitisand Andrews Syndrome  ,Eosinophilia is a condition in which the eosinophil count in the peripheral blood exceeds 0.45×109/L (450/μl). Eosinophils usually account for less than 7% of the circulating leukocytes. A marked increase in non-blood tissue eosinophil count noticed upon histopathologic examination is diagnostic for tissue eosinophilia. Several causes are known with the most common being some form of allergic reaction or parasitosis. Diagnosis of eosinophilia is via a complete blood count (CBC) but diagnostic procedures directed at the underlying cause vary depending on the suspected condition(s). An absolute eosinophil count is not generally needed if the CBC shows marked eosinophilia. The location of the causal factor can be used to classify eosinophilia into two general types: extrinsic in which the factor lies outside of the eosinophil cell lineage; and intrinsic eosinophilia which denotes etiologies within the eosiniphil cell line. Specific treatments are dictated by the causative condition though in idiopathic eosinophilia the disease may be controlled with corticosteroids. Eosinophilia is not a disorder unless it is idiopathic. , Source: Wikipedia"
open wound of the hip, Open wound of the hip is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.
corneal disorder,"Also known as Corneal Disease  ,The cornea is the transparent front part of the eye that covers the iris pupil and anterior chamber. The cornea with the anterior chamber and lens refracts light with the cornea accounting for approximately two-thirds of the eye's total optical power. In humans the refractive power of the cornea is approximately 43 dioptres. While the cornea contributes most of the eye's focusing power its focus is fixed. The curvature of the lens on the other hand can be adjusted to tune the focus depending upon the object's distance. Medical terms related to the cornea often start with the prefix kerat- from the Greek word κέρας horn. , Source: Wikipedia"
foreign body in the gastrointestinal tract, Foreign body in the gastrointestinal tract is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.
endophthalmitis,"Endophthalmitis is an inflammation of the internal coats of the eye. It is a possible complication of all intraocular surgeries particularly cataract surgery with possible loss of vision and the eye itself. Infectious etiology is the most common and various bacteria and fungi have been isolated as the cause of the endophthalmitis. Other causes include penetrating trauma and retained intraocular foreign bodies. , Source: Wikipedia"
intestinal malabsorption,"Also known as Steatorrhea and Fatty Stool  ,Malabsorption is a state arising from abnormality in absorption of food nutrients across the gastrointestinal (GI) tract. ,Source: Wikipedia"
lead poisoning,"Also known as Plumbism and Saturnism  ,Lead poisoning (also known as plumbism colica Pictonum saturnism Devon colic or painter's colic) is a medical condition in humans and other vertebrates caused by increased levels of the heavy metal lead in the body. Lead interferes with a variety of body processes and is toxic to many organs and tissues including the heart bones intestines kidneys and reproductive and nervous systems. It interferes with the development of the nervous system and is therefore particularly toxic to children causing potentially permanent learning and behavior disorders. Symptoms include abdominal pain confusion headache anemia irritability and in severe cases seizures coma and death. , Source: Wikipedia"
viral warts,"Awart is a small rough growth resembling a cauliflower or a solid blister. It typically occurs on human’s hands or feet but often in other locations. Warts are caused by a viral infection specifically by one of the many types of human papillomavirus (HPV). There are as many as 10 varieties of wartsthe most common considered to be mostly harmless. It is possible to get warts from others; they are contagious and usually enter the body in an area of broken skin. They typically disappear after a few months but can last for years and can recur. , Source: Wikipedia"
hyperhidrosis,"Hyperhidrosis is the condition characterized by abnormally increased sweating/perspirationin excess of that required for regulation of body temperature. , Source: Wikipedia"
stroke,"Also known as Cva Cerebrovascular Accidentand Apoplexy  ,Astroke or cerebrovascular accident (CVA) is the rapid loss of brain function due to disturbance in the blood supply to the brain. This can be due to ischemia (lack of blood flow) caused by blockage (thrombosis arterial embolism) or a hemorrhage. As a result the affected area of the brain cannot function which might result in an inability to move one or more limbs on one side of the body inability to understand or formulate speech or an inability to see one side of the visual field. , Source: Wikipedia"
pilonidal cyst,"Also known as Pilonidal Sinus and Coccygeal Sinus  ,A pilonidal cyst also referred to as a pilonidal abscess pilonidal sinus or sacrococcygeal fistulais a cyst or abscess near or on the natal cleft of the buttocks that often contains hair and skin debris. , Source: Wikipedia"
